Código Departamento;Código Municipio;Municipio;Departamento
05;001;MEDELLIN;Antioquia
05;002;ABEJORRAL;Antioquia
05;004;ABRIAQUI;Antioquia
05;021;ALEJANDRIA;Antioquia
05;030;AMAGA;Antioquia
05;031;AMALFI;Antioquia
05;034;ANDES;Antioquia
05;036;ANGELOPOLIS;Antioquia
05;038;ANGOSTURA;Antioquia
05;040;ANORI;Antioquia
05;042;ANTIOQUIA;Antioquia
05;044;ANZA;Antioquia
05;045;APARTADO;Antioquia
05;051;ARBOLETES;Antioquia
05;055;ARGELIA;Antioquia
05;059;ARMENIA;Antioquia
05;079;BARBOSA;Antioquia
05;086;BELMIRA;Antioquia
05;088;BELLO;Antioquia
05;091;BETANIA;Antioquia
05;093;BETULIA;Antioquia
05;101;BOLIVAR;Antioquia
05;107;BRICEÑO;Antioquia
05;113;BURITICA;Antioquia
05;120;CACERES;Antioquia
05;125;CAICEDO;Antioquia
05;129;CALDAS;Antioquia
05;134;CAMPAMENTO;Antioquia
05;138;CAÑASGORDAS;Antioquia
05;142;CARACOLI;Antioquia
05;145;CARAMANTA;Antioquia
05;147;CAREPA;Antioquia
05;148;CARMEN DE VIBORAL;Antioquia
05;150;CAROLINA;Antioquia
05;154;CAUCASIA;Antioquia
05;172;CHIGORODO;Antioquia
05;190;CISNEROS;Antioquia
05;197;COCORNA;Antioquia
05;206;CONCEPCION;Antioquia
05;209;CONCORDIA;Antioquia
05;212;COPACABANA;Antioquia
05;234;DABEIBA;Antioquia
05;237;DON MATIAS;Antioquia
05;240;EBEJICO;Antioquia
05;250;EL BAGRE;Antioquia
05;264;ENTRERRIOS;Antioquia
05;266;ENVIGADO;Antioquia
05;282;FREDONIA;Antioquia
05;284;FRONTINO;Antioquia
05;306;GIRALDO;Antioquia
05;308;GIRARDOTA;Antioquia
05;310;GOMEZ PLATA;Antioquia
05;313;GRANADA;Antioquia
05;315;GUADALUPE;Antioquia
05;318;GUARNE;Antioquia
05;321;GUATAPE;Antioquia
05;347;HELICONIA;Antioquia
05;353;HISPANIA;Antioquia
05;360;ITAGUI;Antioquia
05;361;ITUANGO;Antioquia
05;364;JARDIN;Antioquia
05;368;JERICO;Antioquia
05;376;LA CEJA;Antioquia
05;380;LA ESTRELLA;Antioquia
